Framework,Control ID,Control Name,Asset ID,Status,Evidence Name,Evidence ID,Verification Status,Last Updated
NIST Cybersecurity Framework,PR.AC-4,Least Privilege,asset-EILT0197,Compliant,Unnamed Evidence,N/A,N/A,2026-02-25T14:29:50.549067+00:00
NIST Cybersecurity Framework,PR.AC-4,Least Privilege,asset-EILT0197,Compliant,System Check: Guest Account Disabled,auto-ev-EILT0197-PR.AC-4-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
NIST Cybersecurity Framework,PR.AC-4,Least Privilege,asset-EILT0197,Compliant,System Check: Local Administrator Auditing,auto-ev-EILT0197-PR.AC-4-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
Unknown,PCI-2.2.4,Unknown Control,asset-EILT0197,Compliant,System Check: RDP NLA Required,auto-ev-EILT0197-PCI-2.2.4-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
ISO 27001 (Assumed),A.9.4.2,Unknown Control,asset-EILT0197,Compliant,System Check: RDP NLA Required,auto-ev-EILT0197-A.9.4.2-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
ISO 27001 (Assumed),A.9.4.2,Unknown Control,asset-EILT0197,Compliant,System Check: Account Lockout Policy,auto-ev-EILT0197-A.9.4.2-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
HIPAA Security Rule,164.312(a)(2)(iv),Encryption and Decryption,asset-EILT0197,Warning,Unnamed Evidence,N/A,N/A,2026-02-25T14:29:50.549067+00:00
HIPAA Security Rule,164.312(a)(2)(iv),Encryption and Decryption,asset-EILT0197,Warning,System Check: BitLocker Encryption,auto-ev-EILT0197-164.312(a)(2)(iv)-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
HIPAA Security Rule,164.312(a)(2)(iv),Encryption and Decryption,asset-EILT0197,Warning,System Check: TLS Security Config,auto-ev-EILT0197-164.312(a)(2)(iv)-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
HIPAA Security Rule,164.312(a)(2)(iv),Encryption and Decryption,asset-EILT0197,Warning,System Check: PII Data Discovery,auto-ev-EILT0197-164.312(a)(2)(iv)-2026-02-25T14:29:50.549067+00:00,N/A,2026-02-25T14:29:50.549067+00:00
Payment Card Industry Data Security Standard,PCI-3.4,Protect Stored Data,asset-EILT0197,Warning,Unnamed Evidence,N/A,N/A,2026-02-25T14:29:50.549067+00:00
Payment Card Industry Data Security Standard,PCI-3.4,Protect Stored Data,asset-EILT0197,Warning,System Check: BitLocker Encryption,auto-ev-EILT0197-PCI-3.4-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
Payment Card Industry Data Security Standard,PCI-3.4,Protect Stored Data,asset-EILT0197,Warning,System Check: USB Mass Storage Access,auto-ev-EILT0197-PCI-3.4-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
ISO/IEC 27001:2022,A.8.12,Data Leakage Prevention,asset-EILT0197,Warning,Unnamed Evidence,N/A,N/A,2026-02-25T14:29:50.549067+00:00
ISO/IEC 27001:2022,A.8.12,Data Leakage Prevention,asset-EILT0197,Warning,System Check: BitLocker Encryption,auto-ev-EILT0197-A.8.12-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
NIST Cybersecurity Framework,PR.DS-1,Data at Rest,asset-EILT0197,Warning,Unnamed Evidence,N/A,N/A,2026-02-25T14:29:50.549067+00:00
NIST Cybersecurity Framework,PR.DS-1,Data at Rest,asset-EILT0197,Warning,System Check: BitLocker Encryption,auto-ev-EILT0197-PR.DS-1-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
