Framework,Control ID,Control Name,Asset ID,Status,Evidence Name,Evidence ID,Verification Status,Last Updated
Payment Card Industry Data Security Standard,PCI-10.2,Audit Trails,asset-srihari-laptop,Compliant,System Check: Clock Synchronization Simulation,auto-ev-srihari-laptop-PCI-10.2-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
NIST Cybersecurity Framework,PR.PT-1,Audit Logging,asset-srihari-laptop,Compliant,System Check: Clock Synchronization Simulation,auto-ev-srihari-laptop-PR.PT-1-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
ISO/IEC 27001:2022,A.8.6,Capacity Management,asset-srihari-laptop,Compliant,System Check: Capacity Management Simulation,auto-ev-srihari-laptop-A.8.6-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
Unknown,PR.DS-4,Unknown Control,asset-srihari-laptop,Compliant,System Check: Capacity Management Simulation,auto-ev-srihari-laptop-PR.DS-4-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
ISO/IEC 27001:2022,A.8.21,Security of Network Services,asset-srihari-laptop,Compliant,System Check: Network Security & Segregation Simulation,auto-ev-srihari-laptop-A.8.21-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
Unknown,PCI-1.3,Unknown Control,asset-srihari-laptop,Compliant,System Check: Network Security & Segregation Simulation,auto-ev-srihari-laptop-PCI-1.3-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
ISO/IEC 27001:2022,A.8.20,Networks Security,asset-srihari-laptop,Compliant,System Check: Network Security & Segregation Simulation,auto-ev-srihari-laptop-A.8.20-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
Payment Card Industry Data Security Standard,PCI-1.2,Restrict Connections,asset-srihari-laptop,Compliant,System Check: Network Security & Segregation Simulation,auto-ev-srihari-laptop-PCI-1.2-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
ISO/IEC 27001:2022,A.8.4,Access to Source Code,asset-srihari-laptop,Compliant,System Check: Access to Source Code Simulation,auto-ev-srihari-laptop-A.8.4-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
ISO/IEC 27001:2022,A.8.34,Protection of Information Systems During Audit Testing,asset-srihari-laptop,Compliant,System Check: Utility Programs & Audit Tools Simulation,auto-ev-srihari-laptop-A.8.34-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
NIST Cybersecurity Framework,PR.PT-3,Least Functionality,asset-srihari-laptop,Compliant,System Check: Utility Programs & Audit Tools Simulation,auto-ev-srihari-laptop-PR.PT-3-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
ISO/IEC 27001:2022,A.8.18,Use of Privileged Utility Programs,asset-srihari-laptop,Compliant,System Check: Utility Programs & Audit Tools Simulation,auto-ev-srihari-laptop-A.8.18-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
Payment Card Industry Data Security Standard,PCI-12.1,Information Security Policy,asset-srihari-laptop,Compliant,System Check: Data Leakage Prevention Simulation,auto-ev-srihari-laptop-PCI-12.1-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
Unknown,PR.DS-5,Unknown Control,asset-srihari-laptop,Compliant,System Check: Data Leakage Prevention Simulation,auto-ev-srihari-laptop-PR.DS-5-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
ISO/IEC 27001:2022,A.8.12,Data Leakage Prevention,asset-srihari-laptop,Compliant,System Check: Data Leakage Prevention Simulation,auto-ev-srihari-laptop-A.8.12-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
ISO/IEC 42001:2023,A.5.1,AI Impact Assessment,asset-srihari-laptop,Compliant,System Check: Universal Non-Tech Controls Simulation,auto-ev-srihari-laptop-A.5.1-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
ISO/IEC 27001:2022,A.5.2,Information Security Roles and Responsibilities,asset-srihari-laptop,Compliant,System Check: Universal Non-Tech Controls Simulation,auto-ev-srihari-laptop-A.5.2-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
ISO/IEC 27001:2022,A.5.3,Segregation of Duties,asset-srihari-laptop,Compliant,System Check: Universal Non-Tech Controls Simulation,auto-ev-srihari-laptop-A.5.3-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
ISO/IEC 27001:2022,A.5.4,Management Responsibilities,asset-srihari-laptop,Compliant,System Check: Universal Non-Tech Controls Simulation,auto-ev-srihari-laptop-A.5.4-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
